FRA;2016;TCC6504;C110011;501;10000000;29.750;2.479;29.750;29.750;29.750;29.750;29.750;29.750;29.750;29.750;29.750;29.750;2305.63;2305.63;2305.63;2305.63;2305.63;2305.63;2305.63;2305.63;2305.63;2305.63;2305.63;2305.63;EUR;20160522;;;
FRA;2016;TCC6504;C110012;401;10000000;15.583;1.299;15.583;15.583;15.583;15.583;15.583;15.583;15.583;15.583;15.583;15.583;1207.71;1207.71;1207.71;1207.71;1207.71;1207.71;1207.71;1207.71;1207.71;1207.71;1207.71;1207.71;EUR;20160522;;;
FRA;2016;TCC6504;C110013;301;10000000;35.417;2.951;35.417;35.417;35.417;35.417;35.417;35.417;35.417;35.417;35.417;35.417;2744.79;2744.79;2744.79;2744.79;2744.79;2744.79;2744.79;2744.79;2744.79;2744.79;2744.79;2744.79;EUR;20160522;;;
FRA;2016;TCC6504;C110014;301;10000000;31.917;2.660;31.917;31.917;31.917;31.917;31.917;31.917;31.917;31.917;31.917;31.917;2473.54;2473.54;2473.54;2473.54;2473.54;2473.54;2473.54;2473.54;2473.54;2473.54;2473.54;2473.54;EUR;20160522;;;
FRA;2016;TCC6504;C110015;301;10000000;12.500;1.042;12.500;12.500;12.500;12.500;12.500;12.500;12.500;12.500;12.500;12.500;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;EUR;20160522;;;
FRA;2016;TCC6504;C120030;501;10000000;50.000;4.167;50.000;50.000;50.000;50.000;50.000;50.000;50.000;50.000;50.000;50.000;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;EUR;20160522;;;
FRA;2016;TCC6504;C120600;301;10000000;33.333;2.778;33.333;33.333;33.333;33.333;33.333;33.333;33.333;33.333;33.333;33.333;2583.33;2583.33;2583.33;2583.33;2583.33;2583.33;2583.33;2583.33;2583.33;2583.33;2583.33;2583.33;EUR;20160522;;;
FRA;2016;TCC6504;C990660;700;10000000;4.232;0.353;4.232;4.232;4.232;4.232;4.232;4.232;4.232;4.232;4.232;4.232;327.98;327.98;327.98;327.98;327.98;327.98;327.98;327.98;327.98;327.98;327.98;327.98;EUR;20160522;;;
FRA;2016;TCC6504;ZB14RND000;102;10000000;10.000;0.833;10.000;10.000;10.000;10.000;10.000;10.000;10.000;10.000;10.000;10.000;775.00;775.00;775.00;775.00;775.00;775.00;775.00;775.00;775.00;775.00;775.00;775.00;EUR;20160522;;;
FRA;2016;TCC6504;C130590;201;10000000;50.000;4.167;50.000;50.000;50.000;50.000;50.000;50.000;50.000;50.000;50.000;50.000;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;EUR;20160522;;;
FRA;2016;TCC6504;ZB14RND000;401;10000000;25.000;2.083;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;EUR;20160522;;;
FRA;2016;TCC6504;ZB14RND001;401;10000000;8.333;0.694;8.333;8.333;8.333;8.333;8.333;8.333;8.333;8.333;8.333;8.333;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;EUR;20160522;;;
FRA;2016;TCC6504;ZB14RND002;102;10000000;16.667;1.389;16.667;16.667;16.667;16.667;16.667;16.667;16.667;16.667;16.667;16.667;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;EUR;20160522;;;
FRA;2016;TCC6504;C110016;301;10000000;8.333;0.694;8.333;8.333;8.333;8.333;8.333;8.333;8.333;8.333;8.333;8.333;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;EUR;20160522;;;
FRA;2016;TCC6504;C100411;301;10000000;16.667;1.389;16.667;16.667;16.667;16.667;16.667;16.667;16.667;16.667;16.667;16.667;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;EUR;20160522;;;
FRA;2016;TCC6504;C080540;700;10000000;8.464;0.705;8.464;8.464;8.464;8.464;8.464;8.464;8.464;8.464;8.464;8.464;655.96;655.96;655.96;655.96;655.96;655.96;655.96;655.96;655.96;655.96;655.96;655.96;EUR;20160522;;;
FRA;2016;TCC6501;C010130;700;10000000;5.143;0.429;5.143;5.143;5.143;5.143;5.143;5.143;5.143;5.143;5.143;5.143;398.56;398.56;398.56;398.56;398.56;398.56;398.56;398.56;398.56;398.56;398.56;398.56;EUR;20160522;;;
FRA;2016;TCC6501;C030260;700;10000000;7.053;0.588;7.053;7.053;7.053;7.053;7.053;7.053;7.053;7.053;7.053;7.053;546.63;546.63;546.63;546.63;546.63;546.63;546.63;546.63;546.63;546.63;546.63;546.63;EUR;20160522;;;
FRA;2016;TCC6501;C041010;700;10000000;5.059;0.422;5.059;5.059;5.059;5.059;5.059;5.059;5.059;5.059;5.059;5.059;392.10;392.10;392.10;392.10;392.10;392.10;392.10;392.10;392.10;392.10;392.10;392.10;EUR;20160522;;;
FRA;2016;TCC6501;C051020;700;10000000;29.624;2.469;29.624;29.624;29.624;29.624;29.624;29.624;29.624;29.624;29.624;29.624;2295.86;2295.86;2295.86;2295.86;2295.86;2295.86;2295.86;2295.86;2295.86;2295.86;2295.86;2295.86;EUR;20160522;;;
FRA;2016;TCC6501;C051440;700;10000000;49.373;4.114;49.373;49.373;49.373;49.373;49.373;49.373;49.373;49.373;49.373;49.373;3826.43;3826.43;3826.43;3826.43;3826.43;3826.43;3826.43;3826.43;3826.43;3826.43;3826.43;3826.43;EUR;20160522;;;
FRA;2016;TCC6501;C080050;700;10000000;17.633;1.469;17.633;17.633;17.633;17.633;17.633;17.633;17.633;17.633;17.633;17.633;1366.58;1366.58;1366.58;1366.58;1366.58;1366.58;1366.58;1366.58;1366.58;1366.58;1366.58;1366.58;EUR;20160522;;;
