FRA;2007;1;C11046C   ;A070001   ;0;6122001000;0;1;LE ;15;EUR;20070727
FRA;2007;1;C11046C   ;A070001   ;0;6122001000;0;1;ST ;409.14;EUR;20070727
FRA;2007;1;C11046C   ;A070001   ;0;6122001000;0;50;ST ;26.5;EUR;20070727
FRA;2007;1;C11046C   ;A070001   ;0;6122001000;0;2;LE ;1240;EUR;20070727
FRA;2007;1;C11046C   ;A070001   ;0;6144007000;0;0;   ;58.72;EUR;20070727
FRA;2007;1;C11045B   ;C009960   ;700;6144007000;0;0;   ;670.22;EUR;20070727
FRA;2007;1;C11413    ;C010061   ;704;6141002000;640618;0;   ;76.63;EUR;20070727
FRA;2007;1;C11413    ;C010061   ;704;6141002000;640618;0;   ;-9;EUR;20070727
FRA;2007;1;C11045M   ;C010130   ;700;6122001000;0;1;ST ;1386;EUR;20070727
FRA;2007;1;C11413    ;C010642   ;411;6141003000;0;0;   ;1870.9;EUR;20070727
FRA;2007;1;C11413    ;C010642   ;411;6141002000;630986;0;   ;86.67;EUR;20070727
FRA;2007;1;C11413    ;C010642   ;411;6141002000;630986;0;   ;64.4;EUR;20070727
FRA;2007;1;C11046C   ;C010642   ;431;6141002000;635178;0;   ;706.34;EUR;20070727
FRA;2007;1;C11045M   ;C019980   ;700;6001101000;0;15;ST ;33.52;EUR;20070727
FRA;2007;1;C11045M   ;C019980   ;700;6001101000;0;15;ST ;34.93;EUR;20070727
FRA;2007;1;C11045B   ;C019980   ;700;6141003000;0;0;   ;202.08;EUR;20070727
FRA;2007;1;C11314    ;C019980   ;700;6141003000;0;0;   ;185.92;EUR;20070727
FRA;2007;1;C11314    ;C019980   ;700;6141003000;0;0;   ;32.5;EUR;20070727
FRA;2007;1;C11045B   ;C019980   ;700;6141003000;0;0;   ;32.5;EUR;20070727
FRA;2007;1;C11045B   ;C019980   ;700;6141003000;0;0;   ;1459.08;EUR;20070727
FRA;2007;1;C11314    ;C019980   ;700;6141003000;0;0;   ;923.66;EUR;20070727
FRA;2007;1;C11045B   ;C019980   ;700;6141003000;0;0;   ;260.92;EUR;20070727
FRA;2007;1;C11045B   ;C019980   ;700;6141003000;0;0;   ;152.32;EUR;20070727
FRA;2007;1;C11045B   ;C019980   ;700;6144007000;0;0;   ;200.88;EUR;20070727
FRA;2007;1;C11045B   ;C019980   ;700;6141002000;640628;0;   ;164;EUR;20070727
FRA;2007;1;C11046P   ;C019981   ;331;6141002000;640228;0;   ;13.38;EUR;20070727
FRA;2007;1;C11314    ;C019981   ;411;6141003000;0;0;   ;680.22;EUR;20070727
FRA;2007;1;C11314    ;C019981   ;411;6141003000;0;0;   ;177.35;EUR;20070727
FRA;2007;1;C11314    ;C019981   ;411;6141002000;634434;0;   ;38.04;EUR;20070727
FRA;2007;1;C11314    ;C019981   ;411;6141002000;634434;0;   ;118.1;EUR;20070727
FRA;2007;1;C11046P   ;C019981   ;431;6141003000;0;0;   ;565.12;EUR;20070727
FRA;2007;1;C11046P   ;C019981   ;431;6141003000;0;0;   ;366.04;EUR;20070727
FRA;2007;1;C11046P   ;C019981   ;431;6141003000;0;0;   ;135;EUR;20070727
FRA;2007;1;C11046P   ;C019981   ;431;6141002000;640120;0;   ;346.05;EUR;20070727
FRA;2007;1;C11311    ;C019981   ;441;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;1;C11045B   ;C019990   ;700;6144007000;0;0;   ;325;EUR;20070727
FRA;2007;1;C11314    ;C020200   ;611;6144007000;0;0;   ;48.62;EUR;20070727
FRA;2007;1;C11045M   ;C020200   ;641;6001000000;0;1;ST ;3500;EUR;20070727
FRA;2007;1;C11045M   ;C020200   ;641;6001000000;0;-1;ST ;-3500;EUR;20070727
FRA;2007;1;C11045M   ;C020200   ;641;6001101000;0;1;LE ;62.5;EUR;20070727
FRA;2007;1;C11045M   ;C020200   ;641;6001101000;0;1;LE ;250;EUR;20070727
FRA;2007;1;C11045M   ;C020200   ;641;6001101000;0;1;LE ;450;EUR;20070727
FRA;2007;1;C11045M   ;C020200   ;641;6001101000;0;-1;LE ;-450;EUR;20070727
FRA;2007;1;C11045M   ;C020200   ;641;6001101000;0;-1;LE ;-250;EUR;20070727
FRA;2007;1;C11045M   ;C020200   ;641;6001101000;0;-1;LE ;-30;EUR;20070727
FRA;2007;1;C11045G   ;C020200   ;641;6144007000;0;0;   ;79.48;EUR;20070727
FRA;2007;1;C11311    ;C020200   ;700;6141003000;0;0;   ;85.62;EUR;20070727
FRA;2007;1;C11413    ;C020201   ;700;6141003000;0;0;   ;235.16;EUR;20070727
FRA;2007;1;C11413    ;C020201   ;700;6144007000;0;0;   ;27.2;EUR;20070727
FRA;2007;1;C11413    ;C020201   ;700;6141002000;640349;0;   ;40.45;EUR;20070727
FRA;2007;1;C11045G   ;C020203   ;411;6144007000;0;0;   ;80.83;EUR;20070727
FRA;2007;1;C11045G   ;C020203   ;411;6144007000;0;0;   ;45.44;EUR;20070727
FRA;2007;1;C11413    ;C020203   ;411;6144007000;0;0;   ;38.87;EUR;20070727
FRA;2007;1;C11046C   ;C020203   ;431;6091002000;0;1;ST ;19.5;EUR;20070727
FRA;2007;1;C11311    ;C020204   ;622;6122001000;0;1;ST ;240;EUR;20070727
FRA;2007;1;C11046P   ;C021100   ;700;6141003000;0;0;   ;9.57;EUR;20070727
FRA;2007;1;C11046P   ;C021100   ;701;6141002000;0;0;   ;-267.06;EUR;20070727
FRA;2007;1;C11046P   ;C021100   ;701;6141003000;0;0;   ;-65;EUR;20070727
FRA;2007;1;C11413    ;C021100   ;701;6141003000;0;0;   ;-65;EUR;20070727
FRA;2007;1;C11046P   ;C021100   ;701;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;1;C11413    ;C021100   ;701;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;1;C11046P   ;C021100   ;701;6141002000;640091;0;   ;267.06;EUR;20070727
FRA;2007;1;C11045M   ;C030010   ;703;6122001000;0;0;   ;-1.52;EUR;20070727
FRA;2007;1;C11045M   ;C030010   ;703;6122001000;0;1;ST ;6681;EUR;20070727
FRA;2007;1;C11862    ;C030011   ;201;6141003000;0;0;   ;242.64;EUR;20070727
FRA;2007;1;C11045B   ;C030011   ;201;6141003000;0;0;   ;680.22;EUR;20070727
FRA;2007;1;C11862    ;C030011   ;201;6144007000;0;0;   ;824.86;EUR;20070727
FRA;2007;1;C11045B   ;C030011   ;221;6141003000;0;0;   ;81.25;EUR;20070727
FRA;2007;1;C11045B   ;C030011   ;221;6141002000;640551;0;   ;79.21;EUR;20070727
FRA;2007;1;C11046P   ;C030130   ;631;6141002000;640228;0;   ;12.37;EUR;20070727
FRA;2007;1;C11046P   ;C030130   ;631;6141002000;640228;0;   ;28;EUR;20070727
FRA;2007;1;C11852    ;C030250   ;501;6141003000;0;0;   ;795.3;EUR;20070727
FRA;2007;1;C11852    ;C030250   ;501;6141003000;0;0;   ;363.15;EUR;20070727
FRA;2007;1;C11852    ;C030250   ;501;6141003000;0;0;   ;73.98;EUR;20070727
FRA;2007;1;C11852    ;C030250   ;501;6141003000;0;0;   ;151.66;EUR;20070727
FRA;2007;1;C11852    ;C030250   ;501;6141003000;0;0;   ;172.5;EUR;20070727
FRA;2007;1;C11852    ;C030250   ;501;6141003000;0;0;   ;102.5;EUR;20070727
FRA;2007;1;C11852    ;C030250   ;501;6141002000;640915;0;   ;211.59;EUR;20070727
FRA;2007;1;C11314    ;C030260   ;700;6141003000;0;0;   ;125.83;EUR;20070727
FRA;2007;1;C11413    ;C031020   ;611;6141003000;0;0;   ;130;EUR;20070727
FRA;2007;1;C11314    ;C031020   ;611;6141003000;0;0;   ;1083.8;EUR;20070727
FRA;2007;1;C11314    ;C031020   ;611;6141003000;0;0;   ;155.24;EUR;20070727
FRA;2007;1;C11314    ;C031020   ;611;6141003000;0;0;   ;156.26;EUR;20070727
FRA;2007;1;C11413    ;C031020   ;611;6144007000;0;0;   ;30.32;EUR;20070727
FRA;2007;1;C11314    ;C031020   ;611;6141002000;630484;0;   ;51.75;EUR;20070727
FRA;2007;1;C11314    ;C031020   ;611;6141002000;630484;0;   ;6.27;EUR;20070727
FRA;2007;1;C11413    ;C031020   ;611;6141002000;640126;0;   ;268.64;EUR;20070727
FRA;2007;1;C11046P   ;C031020   ;631;6122001000;0;1;ST ;2990;EUR;20070727
FRA;2007;1;C11046I   ;C031020   ;631;6141003000;0;0;   ;1083.8;EUR;20070727
FRA;2007;1;C11046C   ;C031020   ;S01 ;6144007000;0;0;   ;18.27;EUR;20070727
FRA;2007;1;C11046C   ;C031020   ;S01 ;6144007000;0;0;   ;52.43;EUR;20070727
FRA;2007;1;C11046C   ;C031020   ;S01 ;6144007000;0;0;   ;34.21;EUR;20070727
FRA;2007;1;C11413    ;C031021   ;311;6141003000;0;0;   ;130;EUR;20070727
FRA;2007;1;C11413    ;C031021   ;311;6141003000;0;0;   ;30.68;EUR;20070727
FRA;2007;1;C11413    ;C031021   ;311;6141002000;640349;0;   ;20.15;EUR;20070727
FRA;2007;1;C11413    ;C031021   ;311;6141002000;640349;0;   ;11.22;EUR;20070727
FRA;2007;1;C11413    ;C031021   ;311;6141002000;640349;0;   ;21.74;EUR;20070727
FRA;2007;1;C11413    ;C031021   ;311;6141002000;640349;0;   ;78.26;EUR;20070727
FRA;2007;1;C11413    ;C031021   ;411;6141003000;0;0;   ;195;EUR;20070727
FRA;2007;1;C11413    ;C031021   ;411;6141003000;0;0;   ;111.53;EUR;20070727
FRA;2007;1;C11413    ;C031021   ;411;6141003000;0;0;   ;171.53;EUR;20070727
FRA;2007;1;C11413    ;C031021   ;411;6144007000;0;0;   ;172.07;EUR;20070727
FRA;2007;1;C11413    ;C031021   ;411;6141002000;640126;0;   ;837.75;EUR;20070727
FRA;2007;1;C11314    ;C031021   ;411;6141002000;640147;0;   ;57.54;EUR;20070727
FRA;2007;1;C11314    ;C031021   ;411;6141002000;640147;0;   ;63.59;EUR;20070727
FRA;2007;1;C11314    ;C031021   ;422;6122001000;0;1;ST ;980;EUR;20070727
FRA;2007;1;C11046P   ;C031021   ;431;6091002000;0;1;ST ;4.48;EUR;20070727
FRA;2007;1;C11046P   ;C031021   ;431;6091002000;0;9;ST ;8;EUR;20070727
FRA;2007;1;C11046P   ;C031021   ;431;6091002000;0;9;ST ;7.02;EUR;20070727
FRA;2007;1;C11046P   ;C031021   ;431;6091002000;0;1;ST ;0.68;EUR;20070727
FRA;2007;1;C11046P   ;C031021   ;431;6091002000;0;2;ST ;19.43;EUR;20070727
FRA;2007;1;C11046P   ;C031021   ;431;6091002000;0;2;ST ;30.36;EUR;20070727
FRA;2007;1;C11046P   ;C031021   ;431;6091002000;0;3;ST ;10.29;EUR;20070727
FRA;2007;1;C11046P   ;C031021   ;431;6091002000;0;2;ST ;8.01;EUR;20070727
FRA;2007;1;C11046P   ;C031021   ;431;6091002000;0;4;ST ;3.05;EUR;20070727
FRA;2007;1;C11046P   ;C031021   ;431;6091002000;0;4;ST ;16.75;EUR;20070727
FRA;2007;1;C11413    ;C031021   ;S00 ;6141003000;0;0;   ;61.42;EUR;20070727
FRA;2007;1;C11413    ;C040021   ;511;6141002000;640618;0;   ;-0.1;EUR;20070727
FRA;2007;1;C11413    ;C040021   ;511;6141002000;640618;0;   ;60.28;EUR;20070727
FRA;2007;1;C11413    ;C040021   ;511;6141002000;640618;0;   ;226.72;EUR;20070727
FRA;2007;1;C11413    ;C040021   ;511;6141002000;640618;0;   ;277.6;EUR;20070727
