KOR;2012;11;0663;C051441;700;10000000;95005;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C051441;700;10000000;20011;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C051441;700;10000000;93002;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C051444;522;10000000;L0007;0.00;;0.00;KRW;20121107
BRA;2012;11;CUR6000;C051471;700;10000000;301098;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C051471;700;10000000;301151;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C051471;700;10000000;BRA995;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6500;C051471;700;10000000;301153;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6600;C051472;700;10000000;301149;0.00;;0.00;BRL;20121107
JPN;2012;11;0221;C060050;621;10000000;0076;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C060050;621;10000000;173;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060050;621;10000000;259;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060050;621;10000000;289;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060050;621;10000000;9034;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060050;622;10000000;259;0.00;;0.00;JPY;20121107
JPN;2012;11;0223;C060050;621;10000000;007;0.00;;0.00;JPY;20121107
JPN;2012;11;0223;C060050;622;10000000;007;0.00;;0.00;JPY;20121107
JPN;2012;11;0230;C060050;631;10000000;0290;0.00;;0.00;JPY;20121107
JPN;2012;11;0230;C060050;631;10000000;075;0.00;;0.00;JPY;20121107
JPN;2012;11;0231;C060050;621;10000000;205;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;C060050;641;10000000;084;0.00;;0.00;JPY;20121107
BRA;2012;11;CUR6000;C060052;641;10000000;357;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6000;C060052;700;10000000;357;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C060052;631;10000000;6290;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6500;C060052;601;10000000;304;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6600;C060052;621;10000000;301.237;0.00;;0.00;BRL;20121107
JPN;2012;11;0221;C060052;621;10000000;0076;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C060052;621;10000000;173;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C060052;700;10000000;173;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060052;621;10000000;289;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060052;621;10000000;9034;0.00;;0.00;JPY;20121107
JPN;2012;11;0223;C060052;621;10000000;007;0.00;;0.00;JPY;20121107
JPN;2012;11;0230;C060052;631;10000000;0290;0.00;;0.00;JPY;20121107
JPN;2012;11;0230;C060052;631;10000000;075;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;C060052;102;10000000;084;0.00;;0.00;JPY;20121107
KOR;2012;11;0664;C060052;622;10000000;L0007;0.00;;0.00;KRW;20121107
BRA;2012;11;CUR6000;C060053;641;10000000;357;0.00;;0.00;BRL;20121107
